Category Identifier;Category Name;Category Path;Category Name (de);Category Name (en);Category Path (en)
2532d151-864c-4c93-8af7-c8da8e6a5cd6;Woman (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Woman (machine-generated)";Woman (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Woman (machine-generated)"
f2939c2a-3d80-4131-ac43-2d32325703de;Douglas DC-3;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Douglas\Douglas DC-3;Douglas DC-3;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Douglas\Douglas DC-3
3742b87e-fa0c-47a2-a95b-8bea54e1ac8a;Two (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Two (machine-generated)";Two (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Two (machine-generated)"
ad22de85-0fcf-45cc-927b-eea52a9c3278;Convair CV-440-11 Metropolitan;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Convair\Convair CV-440-11 Metropolitan;Convair CV-440-11 Metropolitan;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Convair\Convair CV-440-11 Metropolitan
b27a5373-b503-4aaf-9535-e91a8b6b2ba1;Zurich, city;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Zurich, city;Zurich, city;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Zurich, city
e61017a9-7511-4272-a6ae-8a36f106e88e;Office (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Office (machine-generated)";Office (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Office (machine-generated)"
c33cd3ba-60d3-4afe-b90a-44153bee799e;Boeing;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Boeing\Boeing 747, B747;Boeing;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Boeing\Boeing 747, B747
e05109ad-b02e-4346-9177-d520d5de4a7a;Boeing 747, B747;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Boeing\Boeing 747, B747;Boeing 747, B747;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Boeing\Boeing 747, B747
50aec859-1476-4ebd-8080-293c6579582c;Conference (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Conference (machine-generated)";Conference (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Conference (machine-generated)"
4c72441e-726b-464b-95a7-75c178a1bee1;Lifting ramps;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Machinery by purpose\Lifting ramps;Lifting ramps;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Machinery by purpose\Lifting ramps
