title,date,name,role,img,party
L'UDC assimile les réfugiés à des parasites et des criminels,25 février 2025,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC assimile les réfugiés à des parasites et parle d'une immigration qui détruit la Suisse,16 mai 2025,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC bâloise lance une initiative contre le langage inclusif,08 octobre 2023,Sarah Regez,Présidente du comité d'initiative,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FSarah_Regez_5831093f23.jpg&w=3840&q=75,UDC - BL
L'UDC décerne un prix pour avoir combattu les tombes musulmanes,08 juillet 2025,Marcel Dettling,Président de l'UDC Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMarcel_Dettling2_ca375535af.png&w=3840&q=75,UDC - SZ
L’UDC du Valais romand dépose plainte contre un artiste,11 janvier 2024,UDC Valais,Section cantonale ,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Flogoudc_f2e484879d.gif&w=3840&q=75,UDC - VS
L'UDC fait dans la désinformation sur la loi climat,02 juin 2023,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC fait scandale avec une vidéo où une danseuse affiche un t-shirt avec le chiffre « 88 »,11 septembre 2015,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L’UDC instrumentalise (encore) les violences domestiques pour attaquer les migrants,06 février 2026,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC invite Mass-Voll au parlement et demande une amnistie pour les contrevenants à la loi COVID,16 septembre 2024,Jean-Luc Addor,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
L'UDC invite des féministes d'extrême droite au parlement,01 octobre 2023,SVP - UDC,Conseillers nationaux,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC minimise l'assaut du Capitole et insulte la vice-présidente américaine,06 novembre 2024,Peter Riebli,Président de l'UDC Bâle-Campagne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPeter_Riebli_0f1c917746.png&w=3840&q=75,UDC - BL
L'UDC ne veut pas condamner l'action violente de Junge Tat,26 octobre 2022,SVP Zuerich,Groupe UDC Ville de Zürich,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - ZH
L'UDC poste une caricature jugée antisémite,09 octobre 2025,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC prévoit une initiative pour interdire aux étrangers de voter,03 décembre 2025,UDC Genève,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLogo_UDC_GE_CH_200_44934ef952.png&w=3840&q=75,UDC - GE
L'UDC propose que les immigrés paient des primes bien plus élevées,26 septembre 2023,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC renanais Stéphane Montabert fait l'apologie de Qanon,04 août 2020,Stéphane Montabert,conseiller communal,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmontabert_stephane_2_c115dbfc14.png&w=3840&q=75,UDC - VD
L'UDC renomme sa liste « Alliance de droite et de centre droit »,01 octobre 2025,Lionel Dugerdil,Président de l'UDC Genève,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLionel_Dugerdil_e8a8209ee6.png&w=3840&q=75,UDC - GE
L'UDC s'attaque encore à la norme pénale contre le racisme,11 mars 2014,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC s'oppose à tenir des statistiques sur les féminicides,19 mars 2025,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC s'oppose à une stratégie contre le racisme et l'antisémitisme,07 mars 2024,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
"L’UDC tessinoise accueille Roberto Vannacci, figure de l'extrême droite italienne",28 janvier 2026,UDC Mendrisio,Section locale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - TI
L'UDC traite les délégués à l'intégration d'« amis des terroristes »,14 novembre 2001,SVP Basel,Présidente de l'UDC Bâle-Ville,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - BS
L’UDC utilise une image générée par IA pour attiser la haine contre les réfugiés,29 janvier 2026,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
L'UDC veut interdire les opérations transgenres chez les mineurs,09 juillet 2025,Nina Fehr Düsel,Conseillère nationale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNina_Fehr_Duesel_b2797ea230.jpg&w=3840&q=75,UDC - ZH
"L'UDC zurichoise condamnée pour racisme, mais son ex-président acquitté",01 juillet 2019,Patrick Walder,Président de l'UDC zurichoise,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fpatrick_walder_07937a2f36.png&w=3840&q=75,UDC - ZH
L’UDF a décidé de lancer un référendum contre la nouvelle norme pénale qui pénalise l’homophobie ,11 janvier 2019,Marc Früh,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMarc_Frueh_e10881bec5.png&w=3840&q=75,UDF - BE
